nr;category;function;ct1;ct2;jct;cto;path_ct1;path_ct2;path_jct;path_cto
39;1) Klassische Chiffren;Transposition (zwei-stufige Spaltentransposition) (Doppelwürfel);X;K;D;;Ver-/Entschlüsseln\Symmetrisch (klassisch)\ Permutation / Transposition…;[K] Klassische Verfahren\ Transposition;[D] Algorithmen\ Klassisch\ Transposition;
40;1) Klassische Chiffren;Trithemius;;;;X;;;;Klassische Chiffren\ Trithemius
41;1) Klassische Chiffren;Vernam;X;;;;Ver-/Entschlüsseln\Symmetrisch (klassisch)\ Vernam / OTP…;;;
42;1) Klassische Chiffren;Vigenère;X;K\T\W;D;X;Ver-/Entschlüsseln\Symmetrisch (klassisch)\ Vigenère…;[K] Klassische Verfahren\ Vigenère<br/>[T] Kryptographie\ Klassisch\ Vigenère-Chiffre<br/>[W] Start\ Verschlüsselungsverfahren\ Klassische Verschlüsselungsverfahren\ Vigenère;[D] Algorithmen\ Klassisch\ Vigenère;Klassische Chiffren\ Vigenère
43;1) Klassische Chiffren;XOR;X;K\T\W;D;;Ver-/Entschlüsseln\Symmetrisch (klassisch)\ XOR…;[K] Klassische Verfahren\ XOR<br/>[T] Kryptographie\ Klassisch\ XOR-Chiffre<br/>[W] Start\ Verschlüsselungsverfahren\ Klassische Verschlüsselungsverfahren\ XOR;[D] Algorithmen\ Klassisch\ XOR;
45;2) Moderne Chiffren;3DES;X;K\T;A;;Ver-/Entschlüsseln\Symmetrisch (modern)\ Triple DES…;[K] Moderne Verfahren\ Symmetrisch\ DES<br/>[T] Kryptographie\ Modern\ Symmetrisch\ DES-Chiffre;[A] Algorithmen\ Blockchiffren\ DESede;
46;2) Moderne Chiffren;Achterbahn;;K\T;;;;[K] Moderne Verfahren\ Symmetrisch\ Achterbahn<br/>[T] Kryptographie\ Modern\ Symmetrisch\ Achterbahn-Chiffre;;
47;2) Moderne Chiffren;AES;X;K\T\W;D\A;X;Ver-/Entschlüsseln\Symmetrisch (modern)\ Rijndael (AES)…<br/>Ver-/Entschlüsseln\Symmetrisch (modern)\ AES (selbstextrahierend)…;[K] Moderne Verfahren\ Symmetrisch\ AES<br/>[T] Kryptographie\ Modern\ Symmetrisch\ AES*<br/>[W] Start\ Verschlüsselungsverfahren\ Moderne Verschlüsselungsverfahren\ Symmetrische Verschlüsselungsverfahren\ AES;[D] Algorithmen\ Symmetrisch\ AES<br/>[A] Algorithmen\ Blockchiffren\ Rijndael;Highlights\ AES
48;2) Moderne Chiffren;Camellia;;;A;;;;[A] Algorithmen\ Blockchiffren\ Camellia;
49;2) Moderne Chiffren;DES;X;K\T\W;;;Ver-/Entschlüsseln\Symmetrisch (modern)\ DES…;[K] Moderne Verfahren\ Symmetrisch\ DES<br/>[T] Kryptographie\ Modern\ Symmetrisch\ DES-Chiffre<br/>[W] Start\ Verschlüsselungsverfahren\ Moderne Verschlüsselungsverfahren\ Symmetrische Verschlüsselungsverfahren\ DES;;
50;2) Moderne Chiffren;DESL;X;;;;Ver-/Entschlüsseln\Symmetrisch (modern)\ Weitere Algorithmen\ DESL…;;;
51;2) Moderne Chiffren;DESX;X;;;;Ver-/Entschlüsseln\Symmetrisch (modern)\ Weitere Algorithmen\ DESX…;;;
52;2) Moderne Chiffren;DESXL;X;;;;Ver-/Entschlüsseln\Symmetrisch (modern)\ Weitere Algorithmen\ DESXL…;;;
53;2) Moderne Chiffren;Dragon;;;D;;;;[D] Algorithmen\ Symmetrisch\ Dragon;
54;2) Moderne Chiffren;Dynamic Group Keying (DGK);;K;;;;[K] Moderne Verfahren\ Asymmetrisch\ DGK;;
55;2) Moderne Chiffren;ECC-AES;X;;;;Ver-/Entschlüsseln\ Hybrid\ RSA-ECC;;;
56;2) Moderne Chiffren;ECIES;;;A;;;;[A] Algorithmen\ Hybride Verschlüsselung\ ECIES;
57;2) Moderne Chiffren;ElGamal;;;D\A;;;;[D] Algorithmen\ Asymmetrisch\ ElGamal<br/>[A] Algorithmen\ Asymmetrische Blockchiffren\ ElGamal;
58;2) Moderne Chiffren;Erweitertes RSA-Kryptosystem (Identitäten / multi-prime);;;D;;;;[D] Visualisierungen\ Erweitertes RSA-Kryptosystem;
59;2) Moderne Chiffren;Grain v1;;K\T;;;;[K] Moderne Verfahren\ Symmetrisch\ Grain v1<br/>[T] Kryptographie\ Modern\ Symmetrisch\ Grain v1-Chiffre;;
60;2) Moderne Chiffren;HC128;;K\T;;;;[K] Moderne Verfahren\ Symmetrisch\ HC128<br/>[T] Kryptographie\ Modern\ Symmetrisch\ HC128-Chiffre;;
61;2) Moderne Chiffren;HIGHT;;K;;;;[K] Moderne Verfahren\ Symmetrisch\ HIGHT;;
62;2) Moderne Chiffren;IDEA;X;;D\A;;Ver-/Entschlüsseln\Symmetrisch (modern)\ IDEA…;;[D] Algorithmen\ Symmetrisch\ IDEA<br/>[A] Algorithmen\ Blockchiffren\ IDEA;
63;2) Moderne Chiffren;LFSR;;K\T;D;;;[K] Protokolle\ LFSR<br/>[T] Mathematisch\ Linear rückgekoppeltes Schieberegister (LFSR);[D] Algorithmen\ Symmetrisch\ LFSR;
64;2) Moderne Chiffren;MARS;X;;A;;Ver-/Entschlüsseln\Symmetrisch (modern)\ Weitere Algorithmen\ MARS…;;[A] Algorithmen\ Blockchiffren\ MARS;
65;2) Moderne Chiffren;McEliece Fujisaki;;;A;;;;[A] Algorithmen\ Hybride Verschlüsselung\ McElieceFujisakiCipher;
66;2) Moderne Chiffren;McEliece Kobara Imai;;;A;;;;[A] Algorithmen\ Hybride Verschlüsselung\ McElieceKobaraImaiCipher;
67;2) Moderne Chiffren;McEliece PKCS;;;A;;;;[A] Algorithmen\ Asymmetrische Blockchiffren\ McEliecePKCS;
68;2) Moderne Chiffren;McEliece Pointcheval;;;A;;;;[A] Algorithmen\ Hybride Verschlüsselung\ McEliecePointchevalCipher;
69;2) Moderne Chiffren;MeRSA;;;A;;;;[A] Algorithmen\ Asymmetrische Blockchiffren\ MeRSA;
70;2) Moderne Chiffren;Mickey 2;;K\T;;;;[K] Moderne Verfahren\ Symmetrisch\ Mickey 2<br/>[T] Kryptographie\ Modern\ Symmetrisch\ Mickey2-Chiffre;;
71;2) Moderne Chiffren;Misty-1 (Kasumi);;;A;;;;[A] Algorithmen\ Blockchiffren\ Misty1;
72;2) Moderne Chiffren;MpRSA;;;D\A;;;;[D] Visualisierung\ Erweitertes RSA-Kryptosystem<br/>[A] Algorithmen\ Asymmetrische Blockchiffren\ MpRSA;
73;2) Moderne Chiffren;Niederreiter;;;A;;;;[A] Algorithmen\ Asymmetrische Blockchiffren\ Niederreiter;
74;2) Moderne Chiffren;NLFSR;;K\T;;;;[K] Protokolle\ NLFSR<br/>[T] Mathematisch\ Nichtlinear rückgekoppeltes Schieberegister (NLFSR);;
75;2) Moderne Chiffren;Paillier-Verschlüsselungssystem;;K\T;;;;[K] Moderne Verfahren\ Asymmetrisch\ Paillier<br/>[T] Kryptographie\ Modern\ Asymmetrisch\ Paillier*;;
76;2) Moderne Chiffren;PRESENT;;K\T;;;;[K] Moderne Verfahren\ Symmetrisch\ PRESENT<br/>[T] Kryptographie\ Modern\ Symmetrisch\ PRESENT-Chiffre;;
77;2) Moderne Chiffren;Rabbit;;K\T;;;;[K] Moderne Verfahren\ Symmetrisch\ Rabbit<br/>[T] Kryptographie\ Modern\ Symmetrisch\ Rabbit-Chiffre;;
78;2) Moderne Chiffren;RC2;X;K\T\W;A;;Ver-/Entschlüsseln\Symmetrisch (modern)\ RC2…;[K] Moderne Verfahren\ Symmetrisch\ RC2<br/>[T] Kryptographie\ Modern\ Symmetrisch\ RC2-Chiffre<br/>[W] Start\ Verschlüsselungsverfahren\ Moderne Verschlüsselungsverfahren\ Symmetrische Verschlüsselungsverfahren\ RC2;[A] Algorithmen\ Blockchiffren\ RC2;
79;2) Moderne Chiffren;RC4;X;K\T;;;Ver-/Entschlüsseln\Symmetrisch (modern)\ RC4…;[K] Moderne Verfahren\ Symmetrisch\ RC4<br/>[T] Kryptographie\ Modern\ Symmetrisch\ RC4-Chiffre;;
80;2) Moderne Chiffren;RC5;;;A;;;;[A] Algorithmen\ Blockchiffren\ RC5;
81;2) Moderne Chiffren;RC6;X;;D\A;;Ver-/Entschlüsseln\Symmetrisch (modern)\ Weitere Algorithmen\ RC6…;;[D] Algorithmen\ Symmetrisch\ RC6<br/>[A] Algorithmen\ Blockchiffren\ RC6;
82;2) Moderne Chiffren;Rijndael;;K\T;;;;[K] Moderne Verfahren\ Symmetrisch\ AES<br/>[T] Kryptographie\ Modern\ Symmetrisch\ AES*;;
83;2) Moderne Chiffren;RSA;X;K\T\W;D\A;;Ver-/Entschlüsseln\ Asymmetrisch\RSA<br/>Einzelverfahren\ RSA-Kryptosystem;[K] Moderne Verfahren\ Asymmetrisch\ RSA<br/>[T] Kryptographie\ Modern\ Asymmetrisch\ RSA*<br/>[W] Start\ Verschlüsselungsverfahren\ Moderne Verschlüsselungsverfahren\ Asymmetrische Verschlüsselungsverfahren\ RSA;[D] Algorithmen\ Asymmetrisch\ RSA<br/>[A] Algorithmen\ Asymmetrische Blockchiffren\ RSA_PKCS1_v1_5<br/>[A] Algorithmen\ Asymmetrische Blockchiffren\ RSA_PKCS1_v2_1;
84;2) Moderne Chiffren;RSA-AES;X;;;;Ver-/Entschlüsseln\ Hybrid\ RSA-AES;;;
85;2) Moderne Chiffren;SAFER+;;;A;;;;[A] Algorithmen\ Blockchiffren\ SAFER+;
86;2) Moderne Chiffren;SAFER++;;;A;;;;[A] Algorithmen\ Blockchiffren\ SAFER++;
87;2) Moderne Chiffren;Salsa20;;K\T;;;;[K] Moderne Verfahren\ Symmetrisch\ Salsa20<br/>[T] Kryptographie\ Modern\ Symmetrisch\ Salsa20-Chiffre;;
88;2) Moderne Chiffren;Serpent;X;;A;;Ver-/Entschlüsseln\ Symmetrisch (modern)\ Weitere Algorithmen\ Serpent…;;[A] Algorithmen\ Blockchiffren\ Serpent;
89;2) Moderne Chiffren;SHA-3 (Keccak)-Stromchiffre;;;T;;;[T] Kryptographie\ Modern\ Symmetrisch\ Keccak Stromchiffre;;
90;2) Moderne Chiffren;Shacal;;;A;;;;[A] Algorithmen\ Blockchiffren\ Shacal;
91;2) Moderne Chiffren;Shacal2;;;A;;;;[A] Algorithmen\ Blockchiffren\ Shacal2;
92;2) Moderne Chiffren;Simple DES;;K\T\W;;;;[K] Moderne Verfahren\ Symmetrisch\ SDES<br/>[T] Kryptographie\ Modern\ Symmetrisch\ SDES-Chiffre<br/>[W] Start\ Verschlüsselungsverfahren\ Moderne Verschlüsselungsverfahren\ Symmetrische Verschlüsselungsverfahren\ SDES;;
93;2) Moderne Chiffren;Sosemanuk;;K\T;;;;[K] Moderne Verfahren\ Symmetrisch\ Sosemanuk<br/>[T] Kryptographie\ Modern\ Symmetrisch\ Sosemanuk-Chiffre;;
94;2) Moderne Chiffren;TEA;;K\T\W;;;;[K] Moderne Verfahren\ Symmetrisch\ TEA<br/>[T] Kryptographie\ Modern\ Symmetrisch\ TEA-Chiffre<br/>[W] Start\ Verschlüsselungsverfahren\ Moderne Verschlüsselungsverfahren\ Symmetrische Verschlüsselungsverfahren\ TEA;;
95;2) Moderne Chiffren;Trivium;;K;;;;[K] Moderne Verfahren\ Symmetrisch\ Trivium;;
96;2) Moderne Chiffren;Twofish;X;K\T\W;A;;Ver-/Entschlüsseln\ Symmetrisch (modern)\ Weitere Algorithmen\ Twofish…;[K] Moderne Verfahren\ Symmetrisch\ Twofish<br/>[T] Kryptographie\ Modern\ Symmetrisch\ Twofish-Chiffre<br/>[W] Start\ Verschlüsselungsverfahren\ Moderne Verschlüsselungsverfahren\ Symmetrische Verschlüsselungsverfahren\ Twofish;[A] Algorithmen\ Blockchiffren\ Twofish;
97;2) Moderne Chiffren;Wired Equivalent Privacy (WEP);;K;;;;[K] Protokolle\ WEP-Protokoll;;
98;2) Moderne Chiffren;XML-Sicherheit;;;D;;;;[D] Algorithmen\ XML-Sicherheit\;
100;3) Hashverfahren und Authentifizierungscodes;CBC MACs;;;A;;;;[A] Algorithmen\ Authentifizierungscodes\ CBCMaK\;
101;3) Hashverfahren und Authentifizierungscodes;Cipher-Based MACs (CMAC);;;A;;;;[A] Algorithmen\ Authentifizierungscodes\ CMaK\;
102;3) Hashverfahren und Authentifizierungscodes;CRC-1/Partiy;;K\T;;;;[K] Hash-Funktionen\ CRC<br/>[T] Hash-Funktionen\ CRC;;
103;3) Hashverfahren und Authentifizierungscodes;CRC-10;;K\T;;;;[K] Hash-Funktionen\ CRC<br/>[T] Hash-Funktionen\ CRC;;
104;3) Hashverfahren und Authentifizierungscodes;CRC-11;;K\T;;;;[K] Hash-Funktionen\ CRC<br/>[T] Hash-Funktionen\ CRC;;
105;3) Hashverfahren und Authentifizierungscodes;CRC-12/3GPP;;K\T;;;;[K] Hash-Funktionen\ CRC<br/>[T] Hash-Funktionen\ CRC;;
106;3) Hashverfahren und Authentifizierungscodes;CRC-12/DECT;;K\T;;;;[K] Hash-Funktionen\ CRC<br/>[T] Hash-Funktionen\ CRC;;
107;3) Hashverfahren und Authentifizierungscodes;CRC-14/DARC;;K\T;;;;[K] Hash-Funktionen\ CRC<br/>[T] Hash-Funktionen\ CRC;;
108;3) Hashverfahren und Authentifizierungscodes;CRC-15;;K\T;;;;[K] Hash-Funktionen\ CRC<br/>[T] Hash-Funktionen\ CRC;;
109;3) Hashverfahren und Authentifizierungscodes;CRC-15/MPT1327;;K\T;;;;[K] Hash-Funktionen\ CRC<br/>[T] Hash-Funktionen\ CRC;;
110;3) Hashverfahren und Authentifizierungscodes;CRC-16;;K\T;;;;[K] Hash-Funktionen\ CRC<br/>[T] Hash-Funktionen\ CRC;;
111;3) Hashverfahren und Authentifizierungscodes;CRC-16/AUG-CCITT;;K\T;;;;[K] Hash-Funktionen\ CRC<br/>[T] Hash-Funktionen\ CRC;;
112;3) Hashverfahren und Authentifizierungscodes;CRC-16/BUYPASS;;K\T;;;;[K] Hash-Funktionen\ CRC<br/>[T] Hash-Funktionen\ CRC;;
113;3) Hashverfahren und Authentifizierungscodes;CRC-16/CCITT-FALSE;;K\T;;;;[K] Hash-Funktionen\ CRC<br/>[T] Hash-Funktionen\ CRC;;
114;3) Hashverfahren und Authentifizierungscodes;CRC-16/DDS-110;;K\T;;;;[K] Hash-Funktionen\ CRC<br/>[T] Hash-Funktionen\ CRC;;
115;3) Hashverfahren und Authentifizierungscodes;CRC-16/DECT-R;;K\T;;;;[K] Hash-Funktionen\ CRC<br/>[T] Hash-Funktionen\ CRC;;
116;3) Hashverfahren und Authentifizierungscodes;CRC-16/DECT-X;;K\T;;;;[K] Hash-Funktionen\ CRC<br/>[T] Hash-Funktionen\ CRC;;
117;3) Hashverfahren und Authentifizierungscodes;CRC-16/DNP;;K\T;;;;[K] Hash-Funktionen\ CRC<br/>[T] Hash-Funktionen\ CRC;;
118;3) Hashverfahren und Authentifizierungscodes;CRC-16/EN-13757;;K\T;;;;[K] Hash-Funktionen\ CRC<br/>[T] Hash-Funktionen\ CRC;;
119;3) Hashverfahren und Authentifizierungscodes;CRC-16/GENIBUS;;K\T;;;;[K] Hash-Funktionen\ CRC<br/>[T] Hash-Funktionen\ CRC;;
120;3) Hashverfahren und Authentifizierungscodes;CRC-16/IBM-SDLC;;K\T;;;;[K] Hash-Funktionen\ CRC<br/>[T] Hash-Funktionen\ CRC;;
121;3) Hashverfahren und Authentifizierungscodes;CRC-16/MAXIM;;K\T;;;;[K] Hash-Funktionen\ CRC<br/>[T] Hash-Funktionen\ CRC;;
122;3) Hashverfahren und Authentifizierungscodes;CRC-16/MCRF4XX;;K\T;;;;[K] Hash-Funktionen\ CRC<br/>[T] Hash-Funktionen\ CRC;;
123;3) Hashverfahren und Authentifizierungscodes;CRC-16/RIELLO;;K\T;;;;[K] Hash-Funktionen\ CRC<br/>[T] Hash-Funktionen\ CRC;;
124;3) Hashverfahren und Authentifizierungscodes;CRC-16/T10-DIF;;K\T;;;;[K] Hash-Funktionen\ CRC<br/>[T] Hash-Funktionen\ CRC;;
125;3) Hashverfahren und Authentifizierungscodes;CRC-16/TELEDISK;;K\T;;;;[K] Hash-Funktionen\ CRC<br/>[T] Hash-Funktionen\ CRC;;
126;3) Hashverfahren und Authentifizierungscodes;CRC-16/TMS37157;;K\T;;;;[K] Hash-Funktionen\ CRC<br/>[T] Hash-Funktionen\ CRC;;
127;3) Hashverfahren und Authentifizierungscodes;CRC-16/USB;;K\T;;;;[K] Hash-Funktionen\ CRC<br/>[T] Hash-Funktionen\ CRC;;
128;3) Hashverfahren und Authentifizierungscodes;CRC-24/FLEXRAY-A;;K\T;;;;[K] Hash-Funktionen\ CRC<br/>[T] Hash-Funktionen\ CRC;;
129;3) Hashverfahren und Authentifizierungscodes;CRC-24/FLEXRAY-B;;K\T;;;;[K] Hash-Funktionen\ CRC<br/>[T] Hash-Funktionen\ CRC;;
130;3) Hashverfahren und Authentifizierungscodes;CRC-24/OPENPGP;;K\T;;;;[K] Hash-Funktionen\ CRC<br/>[T] Hash-Funktionen\ CRC;;
131;3) Hashverfahren und Authentifizierungscodes;CRC-3/ROHC;;K\T;;;;[K] Hash-Funktionen\ CRC<br/>[T] Hash-Funktionen\ CRC;;
132;3) Hashverfahren und Authentifizierungscodes;CRC-31/PHILIPS;;K\T;;;;[K] Hash-Funktionen\ CRC<br/>[T] Hash-Funktionen\ CRC;;
133;3) Hashverfahren und Authentifizierungscodes;CRC-32;;K\T;;;;[K] Hash-Funktionen\ CRC<br/>[T] Hash-Funktionen\ CRC;;
134;3) Hashverfahren und Authentifizierungscodes;CRC-32/BZIP2;;K\T;;;;[K] Hash-Funktionen\ CRC<br/>[T] Hash-Funktionen\ CRC;;
135;3) Hashverfahren und Authentifizierungscodes;CRC-32/MPEG-2;;K\T;;;;[K] Hash-Funktionen\ CRC<br/>[T] Hash-Funktionen\ CRC;;
136;3) Hashverfahren und Authentifizierungscodes;CRC-32/POSIX;;K\T;;;;[K] Hash-Funktionen\ CRC<br/>[T] Hash-Funktionen\ CRC;;
137;3) Hashverfahren und Authentifizierungscodes;CRC-32C;;K\T;;;;[K] Hash-Funktionen\ CRC<br/>[T] Hash-Funktionen\ CRC;;
138;3) Hashverfahren und Authentifizierungscodes;CRC-32D;;K\T;;;;[K] Hash-Funktionen\ CRC<br/>[T] Hash-Funktionen\ CRC;;
139;3) Hashverfahren und Authentifizierungscodes;CRC-32Q;;K\T;;;;[K] Hash-Funktionen\ CRC<br/>[T] Hash-Funktionen\ CRC;;
140;3) Hashverfahren und Authentifizierungscodes;CRC-4/ITU;;K\T;;;;[K] Hash-Funktionen\ CRC<br/>[T] Hash-Funktionen\ CRC;;
141;3) Hashverfahren und Authentifizierungscodes;CRC-40/GSM;;K\T;;;;[K] Hash-Funktionen\ CRC<br/>[T] Hash-Funktionen\ CRC;;
142;3) Hashverfahren und Authentifizierungscodes;CRC-5/EPC;;K\T;;;;[K] Hash-Funktionen\ CRC<br/>[T] Hash-Funktionen\ CRC;;
143;3) Hashverfahren und Authentifizierungscodes;CRC-5/ITU;;K\T;;;;[K] Hash-Funktionen\ CRC<br/>[T] Hash-Funktionen\ CRC;;
144;3) Hashverfahren und Authentifizierungscodes;CRC-5/USB;;K\T;;;;[K] Hash-Funktionen\ CRC<br/>[T] Hash-Funktionen\ CRC;;
145;3) Hashverfahren und Authentifizierungscodes;CRC-6/DARC;;K\T;;;;[K] Hash-Funktionen\ CRC<br/>[T] Hash-Funktionen\ CRC;;
146;3) Hashverfahren und Authentifizierungscodes;CRC-6/ITU;;K\T;;;;[K] Hash-Funktionen\ CRC<br/>[T] Hash-Funktionen\ CRC;;
147;3) Hashverfahren und Authentifizierungscodes;CRC-64;;K\T;;;;[K] Hash-Funktionen\ CRC<br/>[T] Hash-Funktionen\ CRC;;
148;3) Hashverfahren und Authentifizierungscodes;CRC-64/1B;;K\T;;;;[K] Hash-Funktionen\ CRC<br/>[T] Hash-Funktionen\ CRC;;
149;3) Hashverfahren und Authentifizierungscodes;CRC-64/Jones;;K\T;;;;[K] Hash-Funktionen\ CRC<br/>[T] Hash-Funktionen\ CRC;;
150;3) Hashverfahren und Authentifizierungscodes;CRC-64/WE;;K\T;;;;[K] Hash-Funktionen\ CRC<br/>[T] Hash-Funktionen\ CRC;;
151;3) Hashverfahren und Authentifizierungscodes;CRC-7;;K\T;;;;[K] Hash-Funktionen\ CRC<br/>[T] Hash-Funktionen\ CRC;;
152;3) Hashverfahren und Authentifizierungscodes;CRC-7/ROHC;;K\T;;;;[K] Hash-Funktionen\ CRC<br/>[T] Hash-Funktionen\ CRC;;
