Navajo                                  ; ;T      ;   ;X;                                                            ;Cryptography \ Classical \ Navajo Code                      ;                                                            ;Ciphers \ Navajo                        ;;1) Classic Ciphers
Nihilist                                ; ;C\T    ;   ;X;                                                            ;Classic Ciphers \ Nihilist <br /> Cryptography \ Classical \;                                                            ;Ciphers \ Nihilist                      ;;1) Classic Ciphers
Number Shark                            ;X;       ;D  ;X;Indiv. Procedures \ Educational Games \ Number Shark        ;                                                            ;[D] \ Games \ Number Shark                                  ;Highlights \ Taxman                     ;;11) Games
Password Generator                      ; ;       ;   ;X;                                                            ;                                                            ;                                                            ;Highlights \ Password Generator         ;;14) Tools
Password Quality Visualization          ;X;C\T\W  ;   ;X;Indiv. Procedures \ Tools \ Password Quality Meter... <br />;Tools \ Misc \ PasswordStrength <br /> Tools \ Password Gene;                                                            ;Highlights \ Password Check             ;;10) Learning Aids and Visualizations
Playfair                                ;X;C\T\W  ;D  ;X;Encrypt \ Decrypt \ Symmetric (classic) \ Playfair…         ;Classic Ciphers \ Playfair <br /> Cryptography \ Classical \;[D] \ Algorithms \ Classic \ Playfair                       ;Ciphers \ Playfair                      ;;1) Classic Ciphers
Pollux                                  ; ;       ;   ;X;                                                            ;                                                            ;                                                            ;Ciphers \ Pollux                        ;;1) Classic Ciphers
Polybius                                ; ;       ;   ;X;                                                            ;                                                            ;                                                            ;Ciphers \ Polybius                      ;;1) Classic Ciphers
Porta                                   ; ;       ;   ;X;                                                            ;                                                            ;                                                            ;Ciphers \ Porta                         ;;1) Classic Ciphers
Rail Fence                              ;X;       ;   ;X;Encrypt \ Decrypt \ Symmetric (classic) \ Scytale \ Rail Fen;                                                            ;                                                            ;Ciphers \ Zigzag (Rail Fence)           ;;1) Classic Ciphers
Rot-13                                  ;X;C\T\W  ;D  ;X;Encrypt \ Decrypt \ Symmetric (classic) \ Caesar \ Rot-13…  ;Classic Ciphers \ Caesar <br /> Cryptography \ Classical \ C;[D] \ Algorithms \ Classic \ Caesar                         ;Ciphers \ Caesar \ Rot-13               ;;1) Classic Ciphers
Rotation                                ; ;       ;   ;X;                                                            ;                                                            ;                                                            ;Ciphers \ Rotation                      ;;1) Classic Ciphers
Scytale                                 ;X;C\T\W  ;   ;X;Encrypt \ Decrypt \ Symmetric (classic) \ Scytale \ Rail Fen;Classic Ciphers \ Scytale <br /> Cryptanalysis \ Classical \;                                                            ;Ciphers \ Scytale                       ;;1) Classic Ciphers
Substitution                            ;X;C\T\W  ;D  ;X;Encrypt \ Decrypt \ Symmetric (classic) \ Substitution \ Atb;Classic Ciphers \ Substitution <br /> Cryptography \ Classic;[D] \ Algorithms \ Classic \ Substitution                   ;Ciphers \ Monoalphabetic Substitution   ;;1) Classic Ciphers
Templar                                 ; ;       ;   ;X;                                                            ;                                                            ;                                                            ;Ciphers \ Templar                       ;;1) Classic Ciphers
Transposition (Single Column)           ;X;C\T    ;D  ;X;Encrypt \ Decrypt \ Symmetric (classic) \ Permutation \ Tran;Classic Ciphers \ Transposition <br /> Cryptography \ Classi;[D] \ Algorithms \ Classic \ Transposition                  ;Ciphers \ Transposition                 ;;1) Classic Ciphers
Trithemius                              ; ;       ;   ;X;                                                            ;                                                            ;                                                            ;Ciphers \ Trithemius                    ;;1) Classic Ciphers
Vigenère                                ;X;C\T\W  ;D  ;X;Encrypt \ Decrypt \ Symmetric (classic) \ Vigenère…         ;Classic Ciphers \ Vigenère <br /> Cryptanalysis \ Classical ;[D] \ Algorithms \ Classic \ Vigenère                       ;Ciphers \ Vigenère                      ;;1) Classic Ciphers
Vigenère Analysis                       ;X;C\T\W  ;D  ;X;Analysis \ Symmetric Encryption (classic) \ Ciphertext-Only ;Cryptanalysis \ Specific \ Vigenère Analyzer <br /> Cryptana;[D] \ Analysis \ Vigenère Breaker                           ;Cryptanalysis \ Break Vigenère          ;;6) Classic Cryptanalysis
3DES                                    ;X;C      ;A  ; ;Encrypt \ Decrypt \ Symmetric (modern) \ Triple DES…        ;Modern Ciphers \ Symmetric \ DES                            ;[A] \ Block Ciphers \ Block Ciphers \ DESede_CBC (OID: 1.2.8;                                        ;;2) Modern Ciphers
ADFGVX                                  ;X;C\T\W  ;D  ; ;Encrypt \ Decrypt \ Symmetric (classic) \ ADFGVX…           ;Classic Ciphers \ ADFGVX <br /> Cryptanalysis \ Classical \ ;[D] \ Algorithms \ Classic \ ADFGVX                         ;                                        ;;1) Classic Ciphers
Android Unlock Pattern (AUP) Visualizati; ;       ;D  ; ;                                                            ;                                                            ;[D] \ Visualizations \ Android Unlock Pattern (AUP)         ;                                        ;;10) Learning Aids and Visualizations
Ant Colony Optimization Visualization   ; ;       ;D  ; ;                                                            ;                                                            ;[D] \ Visualizations \ Ant Colony Optimization              ;                                        ;;10) Learning Aids and Visualizations
Blum Blum Shub (B.B.S.) (PRNG)          ; ;       ;A  ; ;                                                            ;                                                            ;[A] \ Pseudo Random Number Generators \ BBSRandom           ;                                        ;;5) Random Number Generators
Camellia                                ; ;C\T    ;A  ; ;                                                            ;Modern Ciphers \ Symmetric \ Camellia <br /> Cryptography \ ;[A] \ Block Ciphers \ Block Ciphers \ Camellia128_CBC (OID: ;                                        ;;2) Modern Ciphers
CBC MACs                                ; ;       ;A  ; ;                                                            ;                                                            ;[A] \ Message Authentication Codes \ Message Authentication ;                                        ;;3) Hash and MAC Algorithms
Certificate Verification                ; ;       ;D  ; ;                                                            ;                                                            ;[D] \ Visualizations \ Certificate Verification             ;                                        ;;10) Learning Aids and Visualizations
Chinese Remainder Theorem Visualization ;X;       ;D  ; ;Indiv. Procedures \ Chinese Remainder Theorem Applications \;                                                            ;[D] \ Visualizations \ Chinese Remainder Theorem            ;                                        ;;10) Learning Aids and Visualizations
Cipher-Based MACs (CMAC)                ; ;       ;A  ; ;                                                            ;                                                            ;[A] \ Message Authentication Codes \ Message Authentication ;                                        ;;3) Hash and MAC Algorithms
CMSS                                    ; ;       ;A  ; ;                                                            ;                                                            ;[A] \ Signatures \ Signatures \ CMSS (OID: 1.3.6.1.4.1.8301.;                                        ;;4) Digital Signatures/PKI
Coin Flipping Protocol                  ; ;C\T    ;C\T; ;                                                            ;Protocols \ Coin Flipping <br /> Protocols \ Coin Flipping P;[C] \ Protocols \ Coin Flipping <br /> [T] \ Protocols \ Coi;                                        ;;10) Learning Aids and Visualizations <br \>13) Protocols
DHA256                                  ; ;       ;A  ; ;                                                            ;                                                            ;[A] \ Message Digests \ DHA256                              ;                                        ;;3) Hash and MAC Algorithms
Differential Power Analysis Visualizatio; ;       ;D  ; ;                                                            ;                                                            ;[D] \ Visualizations \ Differential Power Analysis \ Double ;                                        ;;10) Learning Aids and Visualizations
Diffie-Hellman Key Exchange (Perfect For;X;       ;D  ; ;Indiv. Procedures \ Protocols \ Diffie-Hellman Demonstration;                                                            ;[D] \ Visualizations \ Diffie-Hellman Key Exchange (EC) <br ;                                        ;;10) Learning Aids and Visualizations <br \>13) Protocols
Digital Signatures Visualization        ;X;       ;D  ; ;Digital Signatures \ PKI \ Signature Demonstration (Signatur;                                                            ;[D] \ Visualizations \ Signature Demonstration              ;                                        ;;10) Learning Aids and Visualizations
Divider Game                            ; ;       ;D  ; ;                                                            ;                                                            ;[D] \ Games \ Divider Game                                  ;                                        ;;11) Games
Double Box                              ; ;       ;D  ; ;                                                            ;                                                            ;[D] \ Algorithms \ Classic \ Double Box                     ;                                        ;;1) Classic Ciphers
Dragon                                  ; ;       ;D  ; ;                                                            ;                                                            ;[D] \ Algorithms \ Symmetric \ Dragon                       ;                                        ;;2) Modern Ciphers
DSA                                     ;X;       ;A  ; ;Digital Signatures \ PKI \ Sign Document... \ DSA           ;                                                            ;[A] \ Signatures \ Signatures \ RAW \ DSA                   ;                                        ;;4) Digital Signatures/PKI
ECDSA                                   ;X;       ;A  ; ;Digital Signatures \ PKI \ Sign Document... \ ECSP-DSA      ;                                                            ;[A] \ Signatures \ Signatures \ RawECDSA <br /> [A] \ Signat;                                        ;;4) Digital Signatures/PKI
ECIES                                   ; ;       ;A  ; ;                                                            ;                                                            ;[A] \ Hybrid Ciphers \ ECIES                                ;                                        ;;2) Modern Ciphers
ECNR                                    ;X;       ;A  ; ;Digital Signatures \ PKI \ Sign Document... \ ECSP-NR       ;                                                            ;[A] \ Signatures \ SHA1 \ ECNR                              ;                                        ;;4) Digital Signatures/PKI
ElGamal                                 ; ;       ;A  ; ;                                                            ;                                                            ;[A] \ Asymmetric Block Ciphers \ ElGamal (OID: 1.3.14.7.2.1.;                                        ;;2) Modern Ciphers
ElGamal Visualization                   ; ;       ;D  ; ;                                                            ;                                                            ;[D] \ Visualizations \ ElGamal Cryptosystem                 ;                                        ;;10) Learning Aids and Visualizations
Elliptic Curve (PRNG)                   ; ;       ;A  ; ;                                                            ;                                                            ;[A] \ Pseudo Random Number Generators \ ECPRNG              ;                                        ;;5) Random Number Generators
Elliptic Curve Calculations Visualizatio;X;       ;D  ; ;Indiv. Procedures \ Number Theory - Interactive \ Point Addi;                                                            ;[D] \ Visualizations \ Elliptic Curve Calculations          ;                                        ;;10) Learning Aids and Visualizations
Enhanced RSA Crypto System (identities‚ ; ;       ;D  ; ;                                                            ;                                                            ;[D] \ Visualizations \ RSA Cryptosystem <br /> [D] \ Visuali;                                        ;;2) Modern Ciphers
Entropy                                 ;X;C      ;D  ; ;Analysis \ Tools for Analysis \ Entropy                     ;Cryptanalysis \ Generic \ Cost Function                     ;[D] \ Analysis \ Entropy Analysis                           ;                                        ;;6) Classic Cryptanalysis
