MARS                                                                                                                                           ;X;       ;A  ; ;Encrypt \ Decrypt \ Symmetric (modern) \ Further Algorithms \ MARS…                                                                                                                                                                                                                                                                                                                                                                                                                                                  ;                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                              ;[A] \ Block Ciphers \ MARS                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                       ;                                        ;;['2) Modern Ciphers']
McEliece Fujisaki                                                                                                                              ; ;       ;A  ; ;                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                     ;                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                              ;[A] \ Hybrid Ciphers \ McElieceFujisakiCipher (OID: 1.3.6.1.4.1.8301.3.1.3.4.2.1)                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                ;                                        ;;['2) Modern Ciphers']
McEliece Kobara Imai                                                                                                                           ; ;       ;A  ; ;                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                     ;                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                              ;[A] \ Hybrid Ciphers \ McElieceKobaraImaiCipher (OID: 1.3.6.1.4.1.8301.3.1.3.4.2.3)                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                              ;                                        ;;['2) Modern Ciphers']
McEliece PKCS                                                                                                                                  ; ;       ;A  ; ;                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                     ;                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                              ;[A] \ Asymmetric Block Ciphers \ McEliecePKCS (OID: 1.3.6.1.4.1.8301.3.1.3.4.1)                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                  ;                                        ;;['2) Modern Ciphers']
McEliece Pointcheval                                                                                                                           ; ;       ;A  ; ;                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                     ;                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                              ;[A] \ Hybrid Ciphers \ McEliecePointchevalCipher (OID: 1.3.6.1.4.1.8301.3.1.3.4.2.2)                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                             ;                                        ;;['2) Modern Ciphers']
MD4                                                                                                                                            ;X;       ;A  ; ;Indiv. Procedures \ Hash \ MD4                                                                                                                                                                                                                                                                                                                                                                                                                                                                                       ;                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                              ;[A] \ Message Digests \ MD4 (OID: 1.2.840.113549.2.4)                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                            ;                                        ;;['3) Hash and MAC Algorithms']
MD5                                                                                                                                            ;X;C\T\W  ;D  ; ;Indiv. Procedures \ Hash \ MD5                                                                                                                                                                                                                                                                                                                                                                                                                                                                                       ;Hash functions \ MD5 <br /> Codes \ RSA signed QR code <br /> Cryptography \ Modern \ Symmetric \ AES with PKCS#5 <br /> Hash Functions \ HMAC <br /> Hash Functions \ MD5 <br /> Hash Functions \ MD5 Collision Finder <br /> Hash Functions \ MD5 Salted Hash Comparison <br /> Cryptanalysis \ Modern Encryption \ Hash Functions \ MD5                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                    ;[D] \ Message Digests \ MD5 (OID: 1.2.840.113549.2.5)                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                            ;                                        ;;['3) Hash and MAC Algorithms']
Merkle OTS                                                                                                                                     ; ;       ;A  ; ;                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                     ;                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                              ;[A] \ Signatures \ Signatures \ MerkleOTSwithSHA1 (OID: 1.3.6.1.4.1.8301.3.1.3.1.1.1) <br /> [A] \ Signatures \ Signatures \ MerkleOTSwithSHA256 (OID: 1.3.6.1.4.1.8301.3.1.3.1.1.2) <br /> [A] \ Signatures \ Signatures \ MerkleOTSwithSHA384 (OID: 1.3.6.1.4.1.8301.3.1.3.1.1.3) <br /> [A] \ Signatures \ Signatures \ MerkleOTSwithSHA512 (OID: 1.3.6.1.4.1.8301.3.1.3.1.1.4)                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                               ;                                        ;;['4) Digital Signatures/PKI']
Merkle Signature Scheme (MSS, XMSS, XMSS_XT)                                                                                                   ; ;       ;D  ; ;                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                     ;                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                              ;[D] \ Visualizations \ Merkle Signature Scheme (MerkleTree)                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                      ;                                        ;;['10) Learning Aids and Visualizations']
MeRSA                                                                                                                                          ; ;       ;A  ; ;                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                     ;                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                              ;[A] \ Asymmetric Block Ciphers \ MeRSA <br /> [A] \ Signatures \ MeRSA                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                           ;                                        ;;['2) Modern Ciphers']
Misty-1 (Kasumi)                                                                                                                               ; ;       ;A  ; ;                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                     ;                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                              ;[A] \ Block Ciphers \ Misty1                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                     ;                                        ;;['2) Modern Ciphers']
MpRSA                                                                                                                                          ; ;       ;D  ; ;                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                     ;                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                              ;[D] \ Visualizations \ RSA Cryptosystem <br /> [D] \ Visualizations \ Extended RSA Cryptosystem                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                  ;                                        ;;['2) Modern Ciphers']
Multipartite Key Exchange Visualization                                                                                                        ; ;       ;D  ; ;                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                     ;                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                              ;[D] \ Visualizations \ Multipartite Key Exchange                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                 ;                                        ;;['10) Learning Aids and Visualizations']
Niederreiter                                                                                                                                   ; ;       ;A  ; ;                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                     ;                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                              ;[A] \ Asymmetric Block Ciphers \ Niederreiter                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                    ;                                        ;;['2) Modern Ciphers']
Niederreiter CFS                                                                                                                               ; ;       ;A  ; ;                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                     ;                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                              ;[A] \ Signatures \ NiederreiterCFS (OID: 1.3.6.1.4.1.8301.3.1.3.4.3.2)                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                           ;                                        ;;['4) Digital Signatures/PKI']
